Video #,Time (seconds),Converted Time,Observation,Comments
0,65,0.000752315,2 T 1,
0,110,0.001273148,2 C 4,
0,114,0.001319444,2 C 1,
0,120,0.001388889,2 C 1,
0,313,0.003622685,3 T 1,
0,314,0.003634259,2 C 1,
0,323,0.003738426,3 T 4,
0,390,0.004513889,2 C 1,
0,396,0.004583333,2 T 4,
0,419,0.004849537,2 T 1,
0,421,0.004872685,2 C 4,
0,440,0.005092593,2 T 1,
0,481,0.00556713,2 T 4,
0,513,0.0059375,2 C 1,
0,644,0.007453704,1 T 2,
0,645,0.007465278,3 C 4,
0,663,0.007673611,1 B 3,
0,670,0.00775463,1 B 2,
0,696,0.008055556,end experiment,
1,723,0.008368056,1 B 3,
1,724,0.00837963,3 B 2,
1,731,0.008460648,3 T 4,
1,732,0.008472222,3 T 4,
1,788,0.00912037,3 L 2,
1,791,0.009155093,3 B 1,
1,798,0.009236111,3 T 4,
1,799,0.009247685,3 T 2,
1,802,0.009282407,3 T 1,
1,804,0.009305556,3 T 2,
1,823,0.009525463,3 T 4,
1,884,0.010231481,3 C 4,
1,918,0.010625,3 T 4,
1,919,0.010636574,3 T 4,
1,931,0.010775463,3 T 4,
1,982,0.011365741,3 T 4,
1,985,0.011400463,3 T 2,
1,1028,0.011898148,3 C 4,
1,1031,0.01193287,3 C 2,
1,1092,0.012638889,3 T 1,
1,1118,0.012939815,3 T 2,
1,1148,0.013287037,2 B 1,
1,1148,0.013287037,4 T 1,
1,1161,0.0134375,2 T 1,
1,1193,0.01380787,panic,
1,1348,0.015601852,4 T 1,
1,1381,0.015983796,end experiment,
2,1403,0.016238426,4 B 2,
2,1406,0.016273148,1 T 2,
2,1610,0.018634259,2 C 4,
2,1613,0.018668981,2 T 4,
2,1614,0.018680556,2 T 1,
2,1622,0.018773148,2 T 3,
2,1699,0.019664352,2 T 1,
2,1699,0.019664352,2 T 4,
2,1701,0.0196875,2 T 1,
2,1737,0.020104167,3 T 4,
2,1754,0.020300926,2 C 1,
2,1941,0.022465278,2 T 1,
2,1943,0.022488426,2 T 1,
2,1945,0.022511574,2 T 1,
2,2066,0.023912037,end experiment,
3,2118,0.024513889,1 T 4,
3,2220,0.025694444,1 T 2,
3,2264,0.026203704,4 T 1,
3,2272,0.026296296,1 B 4,
3,2306,0.026689815,1 T 4,
3,2315,0.026793981,1 T 4,
3,2336,0.027037037,1 T 4,
3,2338,0.027060185,1 T 2,
3,2341,0.027094907,2 T 4,
3,2343,0.027118056,2 T 1,
3,2349,0.0271875,2 T 1,
3,2369,0.027418981,2 T 3,
3,2371,0.02744213,2 T 1,
3,2491,0.028831019,2 T 4,
3,2493,0.028854167,2 T 1,
3,2494,0.028865741,2 T 4,
3,2499,0.028923611,2 T 4,
3,2500,0.028935185,3 T 1,
3,2503,0.028969907,2 T 1,
3,2518,0.029143519,1 T 4,
3,2538,0.029375,2 T 1,
3,2538,0.029375,2 B 1,
3,2540,0.029398148,2 T 1,
3,2544,0.029444444,2 T 4,
3,2546,0.029467593,2 T 1,
3,2558,0.029606481,2 T 4,
3,2594,0.030023148,2 T 4,
3,2596,0.030046296,2 T 4,
3,2624,0.03037037,2 T 4,
3,2630,0.030439815,2 C 1,
3,2712,0.031388889,panic,
3,2749,0.03181713,panic,
3,2751,0.031840278,end experiment,
4,2763,0.031979167,2 T 1,
4,2775,0.032118056,2 T 4,
4,2820,0.032638889,2 T 1,
4,2859,0.033090278,2 C 1,
4,2936,0.033981481,1 L 4,
4,2950,0.034143519,2 T 4,
4,2952,0.034166667,2 T 4,
4,3042,0.035208333,2 T 1,
4,3061,0.035428241,2 B 1,
4,3068,0.035509259,2 T 1,
4,3329,0.038530093,2 T 4,
4,3421,0.039594907,2 T 4,
4,3437,0.039780093,end experiment,
5,3607,0.041747685,1 T 4,
5,3768,0.043611111,1 C 4,
5,3897,0.045104167,2 C 1,
5,3899,0.045127315,2 C 4,
5,3964,0.04587963,2 T 1,
5,3964,0.04587963,4 T 2,
5,3965,0.045891204,2 T 4,
5,3968,0.045925926,2 T 4,
5,4010,0.046412037,1 T 4,
5,4012,0.046435185,1 C 4,
5,4020,0.046527778,2 C 1,
5,4038,0.046736111,4 T 1,
5,4041,0.046770833,2 T 1,
5,4044,0.046805556,2 C 4,
5,4045,0.04681713,2 T 1,
5,4049,0.046863426,2 T 4,
5,4055,0.04693287,2 T 1,
5,4103,0.047488426,2 C 1,
5,4105,0.047511574,2 C 1,
5,4110,0.047569444,2 T 4,
5,4117,0.047650463,2 B 3,
5,4123,0.047719907,end experiment,
6,4153,0.04806713,2 B 3,
6,4154,0.048078704,3 T 2,
6,4234,0.04900463,2 T 1,
6,4236,0.049027778,1 T 4,
6,4243,0.049108796,3 B 4,
6,4317,0.049965278,2 T 4,
6,4489,0.051956019,3 T 1,
6,4533,0.052465278,1 T 2,
6,4541,0.05255787,2 T 4,
6,4634,0.053634259,1 T 4,
6,4669,0.054039352,1 T 3,
6,4678,0.054143519,2 B 3,
6,4681,0.054178241,2 T 1,
6,4683,0.054201389,2 T 1,
6,4688,0.054259259,2 T 4,
6,4690,0.054282407,2 T 1,
6,4694,0.054328704,2 C 4,
6,4809,0.055659722,end experiment,
7,5056,0.058518519,4 B 2,
7,5058,0.058541667,2 T 4,
7,5061,0.058576389,2 T 4,
7,5066,0.058634259,2 T 4,
7,5187,0.060034722,2 C 1,
7,5206,0.06025463,2 T 1,
7,5337,0.061770833,2 C 1,
7,5398,0.062476852,2 C 1,
7,5494,0.063587963,end experiment,
8,5523,0.063923611,2 B 1,
8,5525,0.063946759,2 T 1,
8,5526,0.063958333,2 T 1,
8,5530,0.06400463,2 T 1,
8,5530,0.06400463,2 C 1,
8,5533,0.064039352,2 T 3,
8,5546,0.064189815,2 C 4,
8,5571,0.064479167,2 T 4,
8,5628,0.065138889,2 B 1,
8,5899,0.068275463,2 T 3,
8,5902,0.068310185,2 T 1,
8,5903,0.068321759,2 C 4,
8,5917,0.068483796,2 T 4,
8,5955,0.068923611,2 T 3,
8,5959,0.068969907,1 T 4,
8,5973,0.069131944,1 T 3,
8,5993,0.069363426,2 T 3,
8,6006,0.069513889,2 T 3,
8,6014,0.069606481,2 T 3,
8,6020,0.069675926,2 C 4,
8,6025,0.069733796,2 T 3,
8,6113,0.070752315,3 L 2,
8,6117,0.070798611,2 T 3,
8,6120,0.070833333,2 C 4,
8,6120,0.070833333,2 C 1,
8,6121,0.070844907,2 C 4,
8,6121,0.070844907,2 T 4,
